sr_no,credit_card,city,state,zipcode,credit_card_limit,date,transaction_dollar_amount,Long,Lat
20,2000000000000000,Atlanta,NY,14808,21000,03-08-2015 18:08,119.21,-77.48368697,42.60403149
21,7480000000000000,Birmingham,NJ,8011,4000,03-08-2015 22:47,17.5,-74.74647188,39.93111165
22,7480000000000000,Birmingham,NJ,8011,4000,03-08-2015 22:15,15.11,-74.7840466,40.01372147
23,8140000000000000,Washington,NH,3280,15000,03-08-2015 21:29,93.34,-72.13201064,43.11056635
24,8140000000000000,Washington,NH,3280,15000,03-08-2015 20:23,54.58,-72.09351562,43.14730805
25,8140000000000000,Washington,NH,3280,15000,03-08-2015 15:55,29.11,-72.06063127,43.17840886
26,8140000000000000,Washington,NH,3280,15000,03-08-2015 12:37,80.15,-72.04486084,43.15757082
27,8140000000000000,Washington,NH,3280,15000,03-08-2015 20:26,45.55,-72.06585167,43.23557467
28,7800000000000000,Los Angeles,CA,90001,20000,03-08-2015 17:25,34.77,-118.2487943,33.92782552
29,7800000000000000,Los Angeles,CA,90001,20000,03-08-2015 00:16,944.38,-118.232455,34.057533
30,7800000000000000,Los Angeles,CA,90001,20000,03-08-2015 16:46,65.95,-118.1713505,34.00374896
31,8060000000000000,Phoenix,NY,13135,5000,03-08-2015 18:28,44.93,-76.33105456,43.31005767
32,4970000000000000,Houston,PA,15342,4000,03-08-2015 21:02,8.79,-80.15221571,40.29398003
33,4970000000000000,Houston,PA,15342,4000,03-08-2015 21:34,10.36,-80.25569369,40.28946498
34,4970000000000000,Houston,PA,15342,4000,03-08-2015 00:52,26.83,-80.24179654,40.30324088
35,4970000000000000,Houston,PA,15342,4000,03-08-2015 19:11,24.66,-80.19227225,40.18630222
36,8540000000000000,Colorado Springs,CO,80509,14000,03-08-2015 22:44,998.42,-104.9124927,38.83362332
37,8540000000000000,Colorado Springs,CO,80509,14000,03-08-2015 17:40,71.06,-104.907837,38.779705
38,2440000000000000,Washington,NH,3280,30000,03-08-2015 20:01,98.45,-72.02707888,43.1822337
39,2440000000000000,Washington,NH,3280,30000,03-08-2015 00:35,119.62,-72.10187176,43.22945965
40,4000000000000000,Washington,NH,3280,20000,03-08-2015 19:10,101.36,-72.02560972,43.18090327
41,4000000000000000,Washington,NH,3280,20000,03-08-2015 03:51,77.29,-72.1452268,43.20926112
42,4000000000000000,Washington,NH,3280,20000,03-08-2015 20:16,102.74,-72.15570638,43.20156303
43,2220000000000000,San Francisco,CA,94101,18000,03-08-2015 22:25,52.18,-122.6553411,37.75261957
44,2220000000000000,San Francisco,CA,94101,18000,03-08-2015 20:55,108.57,-122.7689908,37.84587625
45,9760000000000000,Washington,NH,3280,12000,03-08-2015 18:01,16.65,-72.13105702,43.10469434
46,9760000000000000,Washington,NH,3280,12000,03-08-2015 23:44,14.48,-72.11822365,43.10019364
47,9550000000000000,Columbus,NJ,8022,7000,03-08-2015 22:40,64.02,-74.7367148,40.07895951
48,9550000000000000,Columbus,NJ,8022,7000,03-08-2015 16:23,28.15,-74.73731257,40.12982511
49,2080000000000000,Houston,PA,15342,10000,03-08-2015 18:18,59.49,73.85244516,5.35768063
50,2080000000000000,Houston,PA,15342,10000,03-08-2015 17:44,118.81,-80.19339246,40.21551101
51,8220000000000000,Topeka,IN,46571,25000,03-08-2015 22:36,101.51,-85.62711091,41.5358904
52,8220000000000000,Topeka,IN,46571,25000,03-08-2015 19:39,139.21,-85.49548618,41.57060475
53,8220000000000000,Topeka,IN,46571,25000,03-08-2015 22:40,71.42,-85.62535081,41.55959443
54,8220000000000000,Topeka,IN,46571,25000,03-08-2015 20:35,135.88,-85.59274031,41.59911321
55,8220000000000000,Topeka,IN,46571,25000,03-08-2015 17:49,143.74,-85.59856897,41.58711078
56,8220000000000000,Topeka,IN,46571,25000,03-08-2015 22:43,87.12,-85.49204038,41.57844611
57,6160000000000000,Washington,NH,3280,10000,03-08-2015 22:35,115.3,-72.08643577,43.21592951
58,6160000000000000,Washington,NH,3280,10000,03-08-2015 20:06,79.82,-72.1397437,43.11044341
59,5860000000000000,Washington,NH,3280,12000,03-08-2015 23:42,43.14,-72.13469202,43.11382384
60,2380000000000000,El Paso,IL,61738,12000,03-08-2015 19:03,22.57,-89.04684339,40.65142947
61,2380000000000000,El Paso,IL,61738,12000,03-08-2015 01:06,36.22,-88.9784244,40.74840366
62,8620000000000000,Houston,PA,15342,20000,03-08-2015 18:40,68.49,-80.19987702,40.15914938
63,8620000000000000,Houston,PA,15342,20000,03-08-2015 23:29,66.35,-80.25662664,40.2022131
64,8620000000000000,Houston,PA,15342,20000,03-08-2015 16:58,46.02,-80.26248785,40.18306917
65,5230000000000000,Washington,NH,3280,24000,03-08-2015 06:45,105.9,-72.06519469,43.17847048
66,5230000000000000,Washington,NH,3280,24000,03-08-2015 20:36,72.58,-72.15730949,43.21633186
67,5230000000000000,Washington,NH,3280,24000,03-08-2015 04:10,37.04,-72.04358691,43.20592076
68,6890000000000000,Washington,NH,3280,16000,03-08-2015 15:58,59.41,-72.07072465,43.16750824
69,6890000000000000,Washington,NH,3280,16000,03-08-2015 15:58,55.77,-72.03779051,43.23633452
70,6890000000000000,Washington,NH,3280,16000,03-08-2015 15:58,100.62,-72.14906792,43.17148314
71,6890000000000000,Washington,NH,3280,16000,03-08-2015 04:17,105.89,-72.04994018,43.18933148
72,6890000000000000,Washington,NH,3280,16000,03-08-2015 17:00,27.85,-72.10152285,43.10896661
73,6940000000000000,Washington,NH,3280,5000,03-08-2015 22:35,71.07,-72.09823845,43.13337705
74,6940000000000000,Washington,NH,3280,5000,03-08-2015 19:39,64.84,-72.02588648,43.13868965
75,4570000000000000,Washington,NH,3280,8000,03-08-2015 22:43,40.02,-72.04181294,43.13332466
76,4570000000000000,Washington,NH,3280,8000,03-08-2015 18:21,37.7,-72.07062584,43.24936072
77,4570000000000000,Washington,NH,3280,8000,03-08-2015 21:37,26.83,-72.18036828,43.1533851
78,4570000000000000,Washington,NH,3280,8000,03-08-2015 22:35,28.8,-72.11402725,43.09181888
79,4570000000000000,Washington,NH,3280,8000,03-08-2015 20:11,37.23,-72.11915627,43.09124436
80,4570000000000000,Washington,NH,3280,8000,03-08-2015 15:39,43.78,-72.13178511,43.17950151
81,4570000000000000,Washington,NH,3280,8000,03-08-2015 22:21,9.66,-72.15482201,43.21355576
82,4570000000000000,Washington,NH,3280,8000,03-08-2015 18:55,44.32,-72.04116948,43.19229344
83,4570000000000000,Washington,NH,3280,8000,03-08-2015 20:10,16.38,-72.11385608,43.20184678
84,9640000000000000,Corpus Christi,TX,78401,8000,03-08-2015 22:38,12.9,-97.31369386,27.80042681
85,1170000000000000,Richmond,MA,1254,14000,03-08-2015 20:22,68.99,-73.32980599,42.36491439
86,1170000000000000,Richmond,MA,1254,14000,03-08-2015 21:39,46.45,-73.32123039,42.36962337
87,1170000000000000,Richmond,MA,1254,14000,03-08-2015 18:18,38.8,-73.37727922,42.33646554
88,1170000000000000,Richmond,MA,1254,14000,03-08-2015 21:26,24.39,-73.36231942,42.31854665
89,1180000000000000,Arlington,MA,2174,14000,03-08-2015 20:36,9.19,-71.16583774,42.42837856
90,1180000000000000,Arlington,MA,2174,14000,03-08-2015 20:11,58.69,-71.20620598,42.42701337
91,1180000000000000,Arlington,MA,2174,14000,03-08-2015 19:19,67.4,-71.10542203,42.38209246
92,1180000000000000,Arlington,MA,2174,14000,03-08-2015 00:45,77.61,-71.21360512,42.35072203
93,1180000000000000,Arlington,MA,2174,14000,03-08-2015 21:27,36.23,-71.14718478,42.39534918
94,1180000000000000,Arlington,MA,2174,14000,03-08-2015 21:07,46.21,-71.20896951,42.40535756
95,1180000000000000,Arlington,MA,2174,14000,03-08-2015 18:57,825.57,-71.21636152,42.34269366
96,1180000000000000,Arlington,MA,2174,14000,03-08-2015 16:26,74.39,-71.10842677,42.38697105
97,4770000000000000,Cleveland,NY,13042,30000,03-08-2015 20:27,118.4,-75.79177722,43.32048291
98,4770000000000000,Cleveland,NY,13042,30000,03-08-2015 23:22,194.91,-75.8221477,43.24335188
99,9600000000000000,Arlington,MA,2174,8000,03-08-2015 20:26,36.44,-71.21956188,42.43586908
100,2930000000000000,Tacoma,WA,98401,10000,03-08-2015 19:07,45.61,-122.3833494,47.21144387
101,2930000000000000,Tacoma,WA,98401,10000,03-08-2015 18:58,24.59,-122.5170352,47.27111075
102,5510000000000000,San Diego,TX,78384,10000,03-08-2015 22:11,50.28,-98.44282428,27.6900887
103,8600000000000000,Springfield,MA,1101,14000,03-08-2015 00:09,39.95,-72.57287653,42.23710438
104,8600000000000000,Springfield,MA,1101,14000,03-08-2015 02:12,102.4,-72.62307401,42.10714314
105,8040000000000000,Washington,NH,3280,4000,03-08-2015 22:29,19.31,-72.03494385,43.12909795
106,9310000000000000,Washington,NH,3280,20000,03-08-2015 21:06,39.83,-72.13666299,43.22472899
107,9310000000000000,Washington,NH,3280,20000,03-08-2015 12:59,21.71,-72.10082,43.25887985
108,5920000000000000,Chicago,IL,60290,20000,03-08-2015 01:17,51.7,-87.57408927,41.87929556
109,5920000000000000,Chicago,IL,60290,20000,03-08-2015 19:32,43.63,-87.62939015,41.91830016
110,5920000000000000,Chicago,IL,60290,20000,03-08-2015 00:53,60.81,-87.60281874,41.79649822
111,5920000000000000,Chicago,IL,60290,20000,03-08-2015 16:36,9.17,-87.68268576,41.78280271
112,5920000000000000,Chicago,IL,60290,20000,03-08-2015 22:47,9.63,-87.70881257,41.82853338
113,7650000000000000,Seattle,WA,98060,14000,03-08-2015 22:45,170.96,-121.7246667,47.40855007
114,7650000000000000,Seattle,WA,98060,14000,03-08-2015 23:15,44.35,-121.7976826,47.39769238
115,8870000000000000,Los Angeles,CA,90001,6000,03-08-2015 19:45,12.92,-118.200934,33.98276371
116,8870000000000000,Los Angeles,CA,90001,6000,03-08-2015 23:28,12.28,-118.1845599,33.99290717
117,9720000000000000,Dallas,PA,18612,6000,03-08-2015 19:43,11.01,-76.01066958,41.29486366
118,9720000000000000,Dallas,PA,18612,6000,03-08-2015 21:09,23.69,-76.02813998,41.38160958
119,4740000000000000,Washington,NH,3280,4000,03-08-2015 16:14,41.37,-72.04685177,43.11389417
120,4740000000000000,Washington,NH,3280,4000,03-08-2015 16:20,37.95,-72.16715256,43.14299513
121,4740000000000000,Washington,NH,3280,4000,03-08-2015 19:53,18,-72.18155507,43.15964141
122,9470000000000000,Houston,PA,15342,7000,03-08-2015 16:30,80.9,-80.22511098,40.31930549
123,9470000000000000,Houston,PA,15342,7000,03-08-2015 23:26,94.83,-80.22349199,40.24742819
124,9470000000000000,Houston,PA,15342,7000,03-08-2015 16:13,52.81,-80.25582106,40.18194711
125,9470000000000000,Houston,PA,15342,7000,03-08-2015 22:28,9.49,-80.19554833,40.24273241
126,9470000000000000,Houston,PA,15342,7000,03-08-2015 21:32,35.85,-80.22489571,40.20750034
127,9470000000000000,Houston,PA,15342,7000,03-08-2015 17:57,10.75,-80.26123912,40.18136392
128,9470000000000000,Houston,PA,15342,7000,03-08-2015 20:07,73.21,-80.15558637,40.29503033
129,1400000000000000,Pittsburgh,PA,15201,10000,03-08-2015 14:07,26.03,-79.99889321,40.52739404
130,4510000000000000,Houston,PA,15342,6000,03-08-2015 22:38,63.02,-80.22480067,40.22013046
131,4510000000000000,Houston,PA,15342,6000,03-08-2015 22:43,37.36,-80.19617374,40.15650543
132,4510000000000000,Houston,PA,15342,6000,03-08-2015 15:45,42.4,-80.18401904,40.26053104
133,4510000000000000,Houston,PA,15342,6000,03-08-2015 19:21,49.26,-80.25646894,40.31870813
134,5430000000000000,Pittsburgh,PA,15201,10000,03-08-2015 01:39,40.4,-80.00913123,40.43266308
135,5430000000000000,Pittsburgh,PA,15201,10000,03-08-2015 22:27,335.18,-79.9120911,40.48170853
136,7050000000000000,Washington,NH,3280,8000,03-08-2015 00:21,97.98,-72.16103546,43.18243003
137,7050000000000000,Washington,NH,3280,8000,03-08-2015 00:51,19.72,-72.15067995,43.15560041
138,2040000000000000,Washington,NH,3280,9000,03-08-2015 23:14,44.15,-72.09633047,43.16979757
139,2040000000000000,Washington,NH,3280,9000,03-08-2015 15:12,35.19,59.61582377,40.32882784
140,2040000000000000,Washington,NH,3280,9000,03-08-2015 22:36,25.46,-72.04776989,43.1007375
141,6470000000000000,Las Vegas,NM,87701,12000,03-08-2015 19:32,45.71,-105.0674426,35.595208
142,6470000000000000,Las Vegas,NM,87701,12000,03-08-2015 18:04,24.33,-105.0527348,35.62272637
143,6460000000000000,Raleigh,WV,25911,20000,03-08-2015 19:55,151.15,-81.17303154,37.83297024
144,6460000000000000,Raleigh,WV,25911,20000,03-08-2015 23:57,120.51,-81.19023054,37.77609162
145,6460000000000000,Raleigh,WV,25911,20000,03-08-2015 23:48,37.74,-81.21839721,37.76732542
146,6460000000000000,Raleigh,WV,25911,20000,03-08-2015 22:11,189.74,-81.19093471,37.67655189
147,6460000000000000,Raleigh,WV,25911,20000,03-08-2015 22:31,105.05,114.8688689,66.06136321
148,7810000000000000,Pasadena,MD,21122,10000,03-08-2015 18:08,44.88,-76.53523713,39.04873015
149,2440000000000000,Memphis,NY,13112,14000,03-08-2015 21:03,64.48,109.7431272,23.85558168
150,2440000000000000,Memphis,NY,13112,14000,03-08-2015 19:40,109.09,-76.37088217,43.08655394
151,2440000000000000,Memphis,NY,13112,14000,03-08-2015 18:01,72.26,-76.34735105,43.05369332
152,2440000000000000,Memphis,NY,13112,14000,03-08-2015 21:29,46.73,-76.40915286,43.18822678
153,8410000000000000,Washington,NH,3280,18000,03-08-2015 16:45,81.87,-72.07193246,43.1958163
154,8410000000000000,Washington,NH,3280,18000,03-08-2015 20:48,199.14,-72.14269388,43.1059622
155,8410000000000000,Washington,NH,3280,18000,03-08-2015 17:25,138.99,-72.03279081,43.12825292
156,8410000000000000,Washington,NH,3280,18000,03-08-2015 20:58,65.98,-72.16036612,43.15533751
157,8410000000000000,Washington,NH,3280,18000,03-08-2015 01:30,70.56,-72.152075,43.11788244
158,8410000000000000,Washington,NH,3280,18000,03-08-2015 20:34,53.07,-72.05622333,43.11631039
159,8410000000000000,Washington,NH,3280,18000,03-08-2015 22:02,52.15,-72.04986602,43.22919567
160,8410000000000000,Washington,NH,3280,18000,03-08-2015 20:32,54.68,-72.09460382,43.21630767
161,4520000000000000,Richmond,MA,1254,9000,03-08-2015 18:06,78.5,-73.28603506,42.3841483
162,4520000000000000,Richmond,MA,1254,9000,03-08-2015 22:43,47.15,-73.30740115,42.34609382
163,8530000000000000,Des Moines,IA,50301,20000,03-08-2015 20:43,85.76,-93.50018173,41.68425287
164,5660000000000000,Miami,WV,25134,40000,03-08-2015 20:16,135.69,-81.43948977,38.20908109
165,5660000000000000,Miami,WV,25134,40000,03-08-2015 19:29,114.82,-81.42774624,38.21669312
166,5460000000000000,Memphis,NY,13112,20000,03-08-2015 19:08,108.13,-76.41219801,43.0305553
167,5460000000000000,Memphis,NY,13112,20000,03-08-2015 23:55,53.83,-76.38170335,43.06416742
168,5460000000000000,Memphis,NY,13112,20000,03-08-2015 20:36,104.04,-76.45452675,43.03210511
169,5460000000000000,Memphis,NY,13112,20000,03-08-2015 14:49,68.62,7.967860574,31.22369276
170,5460000000000000,Memphis,NY,13112,20000,03-08-2015 19:08,37.55,-76.38188369,43.03598135
171,5460000000000000,Memphis,NY,13112,20000,03-08-2015 21:50,85.97,-76.41430392,43.10594037
172,4300000000000000,Pittsburgh,PA,15201,8000,03-08-2015 20:53,51.18,-80.02446726,40.47752038
173,4320000000000000,Washington,NH,3280,24000,03-08-2015 23:52,34.27,-72.17491546,43.21209182
174,4320000000000000,Washington,NH,3280,24000,03-08-2015 21:41,125.28,-72.13131927,43.10146756
175,4320000000000000,Washington,NH,3280,24000,03-08-2015 19:47,53.65,-72.14661399,43.23248567
176,4320000000000000,Washington,NH,3280,24000,03-08-2015 20:30,35.83,-72.09135897,43.18758584
177,4320000000000000,Washington,NH,3280,24000,03-08-2015 16:48,78.08,-72.10248095,43.10309263
178,4320000000000000,Washington,NH,3280,24000,03-08-2015 22:36,7.5,-72.01283455,43.16741147
179,6060000000000000,Portland,ME,4101,10000,03-08-2015 01:22,34.84,-70.27394325,43.72365621
180,6060000000000000,Portland,ME,4101,10000,03-08-2015 20:10,67.14,-70.17801622,43.63866832
181,1830000000000000,Arlington,MA,2174,8000,03-08-2015 16:41,185.54,-71.23106628,42.41141549
182,2420000000000000,Washington,NH,3280,9000,03-08-2015 23:06,20.84,-72.08578311,43.23893962
183,2420000000000000,Washington,NH,3280,9000,03-08-2015 00:58,50.38,-72.11829372,43.17851598
184,2420000000000000,Washington,NH,3280,9000,03-08-2015 22:35,27.18,-72.07786665,43.17957168
185,3220000000000000,New York,NY,10001,21000,03-08-2015 04:07,130.66,-74.04977275,40.7748575
186,3220000000000000,New York,NY,10001,21000,03-08-2015 16:13,94.64,-74.00106002,40.79037832
187,3220000000000000,New York,NY,10001,21000,03-08-2015 21:29,45.54,-74.07367095,40.73545333
188,3220000000000000,New York,NY,10001,21000,03-08-2015 21:29,101.03,-73.946489,40.75085005
189,3220000000000000,New York,NY,10001,21000,03-08-2015 21:29,109.76,-74.04886329,40.70236203
190,3220000000000000,New York,NY,10001,21000,03-08-2015 20:59,76.26,-74.03817572,40.67612497
191,2240000000000000,Buffalo,NY,14201,10000,03-08-2015 17:17,30.78,-78.80001372,42.87272639
192,2240000000000000,Buffalo,NY,14201,10000,03-08-2015 22:54,38.18,-78.9535198,42.93972086
193,8250000000000000,Long Beach,NY,11561,14000,03-08-2015 20:18,65.59,-73.61556088,40.61244462
194,8250000000000000,Long Beach,NY,11561,14000,03-08-2015 22:53,48.49,-73.64702709,40.52236231
195,8250000000000000,Long Beach,NY,11561,14000,03-08-2015 18:52,33.49,-73.71747105,40.61291749
196,3280000000000000,Houston,PA,15342,8000,03-08-2015 17:23,48.88,-80.15233393,40.21685916
197,8190000000000000,Houston,PA,15342,10000,03-08-2015 20:05,11.04,-80.2383649,40.16807258
198,8190000000000000,Houston,PA,15342,10000,03-08-2015 16:07,54.87,109.4810388,-16.16960954
199,8190000000000000,Houston,PA,15342,10000,03-08-2015 01:02,6.14,-80.2829571,40.26858392
200,8190000000000000,Houston,PA,15342,10000,03-08-2015 00:22,35.39,-80.2319885,40.2541165
201,4110000000000000,Springfield,MA,1101,8000,03-08-2015 20:10,12.14,-72.58508103,42.20104022
202,4110000000000000,Springfield,MA,1101,8000,03-08-2015 18:38,59.94,-72.66307377,42.21842276
203,4110000000000000,Springfield,MA,1101,8000,03-08-2015 20:24,42.29,-72.61017359,42.22179999
204,4110000000000000,Springfield,MA,1101,8000,03-08-2015 22:24,56.66,-72.67493594,42.20615244
205,4110000000000000,Springfield,MA,1101,8000,03-08-2015 16:12,57.73,-72.65653828,42.24106468
206,4110000000000000,Springfield,MA,1101,8000,03-08-2015 00:30,40.91,-72.5966256,42.1921981
207,4110000000000000,Springfield,MA,1101,8000,03-08-2015 00:43,21.15,-72.53623665,42.19704177
208,2470000000000000,Houston,PA,15342,10000,03-08-2015 17:36,126.31,-80.2296487,40.1639187
209,3050000000000000,Newark,NJ,7101,10000,03-08-2015 22:33,31.42,-74.25693871,40.67816959
210,3050000000000000,Newark,NJ,7101,10000,03-08-2015 20:12,41.39,-74.23904708,40.70714061
211,7880000000000000,Washington,NH,3280,8000,03-08-2015 18:47,80.09,-72.12285799,43.25351581
212,8530000000000000,New York,NY,10001,12000,03-08-2015 15:41,93.27,-74.06367271,40.69840777
213,8530000000000000,New York,NY,10001,12000,03-08-2015 21:02,61.31,-74.05229116,40.76316585
214,7200000000000000,El Paso,IL,61738,3000,03-08-2015 18:38,45.31,-89.09892216,40.76106015
215,3360000000000000,Miami,WV,25134,4000,03-08-2015 00:22,133.22,-81.49841451,38.12990584
216,1670000000000000,Columbus,NJ,8022,12000,03-08-2015 01:09,41.42,-74.77301482,40.07343489
217,1670000000000000,Columbus,NJ,8022,12000,03-08-2015 22:42,38.59,-74.75212959,40.11585853
218,1670000000000000,Columbus,NJ,8022,12000,03-08-2015 17:21,33.92,-74.76929542,40.03726635
219,1670000000000000,Columbus,NJ,8022,12000,03-08-2015 19:35,844.69,-74.76948753,40.07349939
220,1670000000000000,Columbus,NJ,8022,12000,03-08-2015 21:24,31.28,-74.7260854,40.08725589
221,9760000000000000,Washington,NH,3280,10000,03-08-2015 19:01,43.58,-72.14246974,43.24858015
222,9760000000000000,Washington,NH,3280,10000,03-08-2015 17:24,36.88,-72.04433701,43.23896693
223,9760000000000000,Washington,NH,3280,10000,03-08-2015 21:43,79.14,-72.09838142,43.18508491
224,9760000000000000,Washington,NH,3280,10000,03-08-2015 19:07,17.45,-72.10023896,43.20669577
225,7690000000000000,Washington,NH,3280,10000,03-08-2015 00:23,24.35,-72.18379181,43.19395891
226,7690000000000000,Washington,NH,3280,10000,03-08-2015 23:55,64.09,-72.05475195,43.13782336
227,6620000000000000,Chicago,IL,60290,9000,03-08-2015 22:26,19.65,-87.69564994,41.87996918
228,9430000000000000,San Antonio,PR,690,20000,03-08-2015 22:46,54.63,-67.0550312,18.51943176
229,9430000000000000,San Antonio,PR,690,20000,03-08-2015 00:19,44.29,-4.631547547,40.84810142
230,9430000000000000,San Antonio,PR,690,20000,03-08-2015 22:42,132.4,-67.04856952,18.49507512
231,9430000000000000,San Antonio,PR,690,20000,03-08-2015 20:57,113.37,-67.07193676,18.54788645
232,3970000000000000,Washington,NH,3280,16000,03-08-2015 23:40,62.07,-72.18070796,43.17323934
233,3970000000000000,Washington,NH,3280,16000,03-08-2015 21:34,52.79,12.23441966,0.577501479
234,4460000000000000,New York,NY,10001,2000,03-08-2015 22:33,114.05,-74.00172423,40.66236802
235,3460000000000000,Indianapolis,IN,46201,20000,03-08-2015 17:01,162.99,-86.14156372,39.69652357
236,3460000000000000,Indianapolis,IN,46201,20000,03-08-2015 14:51,49.59,-86.13326488,39.78665199
237,3460000000000000,Indianapolis,IN,46201,20000,03-08-2015 19:57,77.02,-86.12015514,39.73176505
238,3460000000000000,Indianapolis,IN,46201,20000,03-08-2015 21:16,83.46,-86.16517105,39.80090531
239,3800000000000000,Fort Worth,TX,76101,20000,03-08-2015 21:34,57.35,-97.30676342,32.80247336
240,3800000000000000,Fort Worth,TX,76101,20000,03-08-2015 16:17,15.67,-97.26492364,32.7621034
241,3920000000000000,Chicago,IL,60290,20000,03-08-2015 23:11,64.12,-87.65047468,41.80552999
242,3920000000000000,Chicago,IL,60290,20000,03-08-2015 22:14,99.3,-87.61017496,41.86724056
243,8160000000000000,Akron,NY,14001,20000,03-08-2015 22:58,0.42,-78.45834527,43.02827193
244,8160000000000000,Akron,NY,14001,20000,03-08-2015 22:01,61.45,-78.5459561,43.07131741
245,8160000000000000,Akron,NY,14001,20000,03-08-2015 19:48,38.96,-78.4814655,42.99312747
246,8160000000000000,Akron,NY,14001,20000,03-08-2015 14:31,57.18,-78.50377676,43.10525231
247,8160000000000000,Akron,NY,14001,20000,03-08-2015 21:21,881.53,-78.58200064,42.99455442
248,8160000000000000,Akron,NY,14001,20000,03-08-2015 18:29,45.12,-78.54953137,43.00356486
249,8160000000000000,Akron,NY,14001,20000,03-08-2015 22:45,13.95,-78.49945298,42.96156761
250,8110000000000000,Washington,NH,3280,14000,03-08-2015 22:18,168.96,-72.01475895,43.18720126
251,8110000000000000,Washington,NH,3280,14000,03-08-2015 21:11,263.16,-72.17465344,43.2083752
252,8110000000000000,Washington,NH,3280,14000,03-08-2015 18:05,67.43,-72.09778301,43.16426661
253,7120000000000000,New Orleans,LA,70112,10000,03-08-2015 00:31,87.94,-90.04308537,29.90840548
254,7120000000000000,New Orleans,LA,70112,10000,03-08-2015 22:15,79.42,-90.06537169,29.9398737
255,5650000000000000,Washington,NH,3280,18000,03-08-2015 19:04,61.81,-72.03467962,43.11548584
256,5650000000000000,Washington,NH,3280,18000,03-08-2015 17:57,49.7,-72.18116387,43.15802789
257,5650000000000000,Washington,NH,3280,18000,03-08-2015 20:24,64.99,-72.1068875,43.17794011
258,8350000000000000,Washington,NH,3280,10000,03-08-2015 04:26,12.69,-72.15117117,43.19714309
259,2300000000000000,El Paso,IL,61738,10000,03-08-2015 22:20,23.82,-89.01126375,40.73428643
260,2300000000000000,El Paso,IL,61738,10000,03-08-2015 22:23,0.26,-89.04934962,40.69455895
261,2300000000000000,El Paso,IL,61738,10000,03-08-2015 17:51,23.45,-89.00128378,40.797368
262,2300000000000000,El Paso,IL,61738,10000,03-08-2015 22:28,27.26,-88.9787051,40.71011566
263,2300000000000000,El Paso,IL,61738,10000,03-08-2015 17:13,11.43,-89.07997956,40.69551344
264,2300000000000000,El Paso,IL,61738,10000,03-08-2015 17:32,32.86,-89.08636374,40.73417398
265,2300000000000000,El Paso,IL,61738,10000,03-08-2015 21:29,34.48,-89.04688107,40.64402945
266,9450000000000000,Richmond,MA,1254,20000,03-08-2015 21:19,46.22,-73.44501059,42.4019345
267,9450000000000000,Richmond,MA,1254,20000,03-08-2015 18:26,91.17,-73.38505334,42.32536075
268,9450000000000000,Richmond,MA,1254,20000,03-08-2015 19:12,108.3,-73.36336142,42.34828646
269,9450000000000000,Richmond,MA,1254,20000,03-08-2015 20:45,36.41,-73.41633593,42.41347957
270,5170000000000000,Houston,PA,15342,20000,03-08-2015 03:19,196.26,-80.26126718,40.18016073
271,5170000000000000,Houston,PA,15342,20000,03-08-2015 19:16,11.64,-80.21929503,40.1842019
272,5170000000000000,Houston,PA,15342,20000,03-08-2015 23:58,86.18,-80.24985288,40.29199742
273,7040000000000000,New York,NY,10001,30000,03-08-2015 17:41,119.26,-74.06693012,40.74052791
274,7040000000000000,New York,NY,10001,30000,03-08-2015 21:18,163.78,-73.96422094,40.81016511
